cause_name,_id,cause_id
"ObjectID(""647775723de912b9071332a0"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b9071332a1"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b9071332a2"")",493,Ischemic heart disease
Ischemic stroke,"ObjectID(""647775723de912b9071332a3"")",495
"ObjectID(""647775723de912b9071332a4"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b9071332a5"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b9071332a6"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b9071332a7"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b9071332a8"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b9071332a9"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b9071332aa"")",942,Myocarditis
"ObjectID(""647775723de912b9071332ab"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b9071332ac"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b9071332ad"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b9071332ae"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b9071332af"")",501,Aortic aneurysm
"ObjectID(""647775723de912b9071332b0"")",502,Lower extremity peripheral arterial disease
503,Endocarditis,"ObjectID(""647775723de912b9071332b1"")"
"ObjectID(""647775723de912b9071332b2"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b9071332b3"")",491,Cardiovascular diseases
492,Rheumatic heart disease,"ObjectID(""647775723de912b9071332b4"")"
"ObjectID(""647775723de912b9071332b5"")",493,Ischemic heart disease
"ObjectID(""647775723de912b9071332b6"")",495,Ischemic stroke
"ObjectID(""647775723de912b9071332b7"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b9071332b8"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b9071332b9"")",498,Hypertensive heart disease
968,Non-rheumatic calcific aortic valve disease,"ObjectID(""647775723de912b9071332ba"")"
"ObjectID(""647775723de912b9071332bb"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b9071332bc"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b9071332bd"")",942,Myocarditis
"ObjectID(""647775723de912b9071332be"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b9071332bf"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b9071332c0"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b9071332c1"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b9071332c2"")",501,Aortic aneurysm
"ObjectID(""647775723de912b9071332c3"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b9071332c4"")",503,Endocarditis
"ObjectID(""647775723de912b9071332c5"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b9071332c6"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b9071332c7"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b9071332c8"")",493,Ischemic heart disease
495,Ischemic stroke,"ObjectID(""647775723de912b9071332c9"")"
"ObjectID(""647775723de912b9071332ca"")",496,Intracerebral hemorrhage
497,Subarachnoid hemorrhage,"ObjectID(""647775723de912b9071332cb"")"
Hypertensive heart disease,"ObjectID(""647775723de912b9071332cc"")",498
"ObjectID(""647775723de912b9071332cd"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b9071332ce"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b9071332cf"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b9071332d0"")",942,Myocarditis
"ObjectID(""647775723de912b9071332d1"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b9071332d2"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b9071332d3"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b9071332d4"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b9071332d5"")",501,Aortic aneurysm
"ObjectID(""647775723de912b9071332d6"")",502,Lower extremity peripheral arterial disease
503,Endocarditis,"ObjectID(""647775723de912b9071332d7"")"
"ObjectID(""647775723de912b9071332d8"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b9071332d9"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b9071332da"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b9071332db"")",493,Ischemic heart disease
"ObjectID(""647775723de912b9071332dc"")",495,Ischemic stroke
"ObjectID(""647775723de912b9071332dd"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b9071332de"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b9071332df"")",498,Hypertensive heart disease
Non-rheumatic calcific aortic valve disease,"ObjectID(""647775723de912b9071332e0"")",968
969,Non-rheumatic degenerative mitral valve disease,"ObjectID(""647775723de912b9071332e1"")"
"ObjectID(""647775723de912b9071332e2"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b9071332e3"")",942,Myocarditis
938,Alcoholic cardiomyopathy,"ObjectID(""647775723de912b9071332e4"")"
"ObjectID(""647775723de912b9071332e5"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b9071332e6"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b9071332e7"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b9071332e8"")",501,Aortic aneurysm
"ObjectID(""647775723de912b9071332e9"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b9071332ea"")",503,Endocarditis
"ObjectID(""647775723de912b9071332eb"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b9071332ec"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b9071332ed"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b9071332ee"")",493,Ischemic heart disease
"ObjectID(""647775723de912b9071332ef"")",495,Ischemic stroke
Intracerebral hemorrhage,"ObjectID(""647775723de912b9071332f0"")",496
"ObjectID(""647775723de912b9071332f1"")",497,Subarachnoid hemorrhage
498,Hypertensive heart disease,"ObjectID(""647775723de912b9071332f2"")"
"ObjectID(""647775723de912b9071332f3"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b9071332f4"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b9071332f5"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b9071332f6"")",942,Myocarditis
938,Alcoholic cardiomyopathy,"ObjectID(""647775723de912b9071332f7"")"
"ObjectID(""647775723de912b9071332f8"")",944,Other cardiomyopathy
1004,Pulmonary Arterial Hypertension,"ObjectID(""647775723de912b9071332f9"")"
"ObjectID(""647775723de912b9071332fa"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b9071332fb"")",501,Aortic aneurysm
"ObjectID(""647775723de912b9071332fc"")",502,Lower extremity peripheral arterial disease
503,Endocarditis,"ObjectID(""647775723de912b9071332fd"")"
"ObjectID(""647775723de912b9071332fe"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b9071332ff"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b907133300"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b907133301"")",493,Ischemic heart disease
"ObjectID(""647775723de912b907133302"")",495,Ischemic stroke
"ObjectID(""647775723de912b907133303"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b907133304"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b907133305"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b907133306"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b907133307"")",969,Non-rheumatic degenerative mitral valve disease
Other non-rheumatic valve diseases,"ObjectID(""647775723de912b907133308"")",970
"ObjectID(""647775723de912b907133309"")",942,Myocarditis
"ObjectID(""647775723de912b90713330a"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b90713330b"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b90713330c"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b90713330d"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b90713330e"")",501,Aortic aneurysm
"ObjectID(""647775723de912b90713330f"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b907133310"")",503,Endocarditis
"ObjectID(""647775723de912b907133311"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b907133312"")",491,Cardiovascular diseases
Rheumatic heart disease,"ObjectID(""647775723de912b907133313"")",492
"ObjectID(""647775723de912b907133314"")",493,Ischemic heart disease
495,Ischemic stroke,"ObjectID(""647775723de912b907133315"")"
"ObjectID(""647775723de912b907133316"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b907133317"")",497,Subarachnoid hemorrhage
Hypertensive heart disease,"ObjectID(""647775723de912b907133318"")",498
"ObjectID(""647775723de912b907133319"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b90713331a"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b90713331b"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b90713331c"")",942,Myocarditis
"ObjectID(""647775723de912b90713331d"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b90713331e"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b90713331f"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b907133320"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b907133321"")",501,Aortic aneurysm
"ObjectID(""647775723de912b907133322"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b907133323"")",503,Endocarditis
"ObjectID(""647775723de912b907133324"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b907133325"")",491,Cardiovascular diseases
492,Rheumatic heart disease,"ObjectID(""647775723de912b907133326"")"
Ischemic heart disease,"ObjectID(""647775723de912b907133327"")",493
"ObjectID(""647775723de912b907133328"")",495,Ischemic stroke
"ObjectID(""647775723de912b907133329"")",496,Intracerebral hemorrhage
497,Subarachnoid hemorrhage,"ObjectID(""647775723de912b90713332a"")"
"ObjectID(""647775723de912b90713332b"")",498,Hypertensive heart disease
968,Non-rheumatic calcific aortic valve disease,"ObjectID(""647775723de912b90713332c"")"
969,Non-rheumatic degenerative mitral valve disease,"ObjectID(""647775723de912b90713332d"")"
"ObjectID(""647775723de912b90713332e"")",970,Other non-rheumatic valve diseases
942,Myocarditis,"ObjectID(""647775723de912b90713332f"")"
"ObjectID(""647775723de912b907133330"")",938,Alcoholic cardiomyopathy
944,Other cardiomyopathy,"ObjectID(""647775723de912b907133331"")"
1004,Pulmonary Arterial Hypertension,"ObjectID(""647775723de912b907133332"")"
"ObjectID(""647775723de912b907133333"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b907133334"")",501,Aortic aneurysm
"ObjectID(""647775723de912b907133335"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b907133336"")",503,Endocarditis
507,Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b907133337"")"
"ObjectID(""647775723de912b907133338"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b907133339"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b90713333a"")",493,Ischemic heart disease
"ObjectID(""647775723de912b90713333b"")",495,Ischemic stroke
496,Intracerebral hemorrhage,"ObjectID(""647775723de912b90713333c"")"
"ObjectID(""647775723de912b90713333d"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b90713333e"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b90713333f"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b907133340"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b907133341"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b907133342"")",942,Myocarditis
"ObjectID(""647775723de912b907133343"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b907133344"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b907133345"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b907133346"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b907133347"")",501,Aortic aneurysm
"ObjectID(""647775723de912b907133348"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b907133349"")",503,Endocarditis
507,Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b90713334a"")"
Cardiovascular diseases,"ObjectID(""647775723de912b90713334b"")",491
"ObjectID(""647775723de912b90713334c"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b90713334d"")",493,Ischemic heart disease
"ObjectID(""647775723de912b90713334e"")",495,Ischemic stroke
"ObjectID(""647775723de912b90713334f"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b907133350"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b907133351"")",498,Hypertensive heart disease
968,Non-rheumatic calcific aortic valve disease,"ObjectID(""647775723de912b907133352"")"
"ObjectID(""647775723de912b907133353"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b907133354"")",970,Other non-rheumatic valve diseases
942,Myocarditis,"ObjectID(""647775723de912b907133355"")"
"ObjectID(""647775723de912b907133356"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b907133357"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b907133358"")",1004,Pulmonary Arterial Hypertension
Atrial fibrillation and flutter,"ObjectID(""647775723de912b907133359"")",500
"ObjectID(""647775723de912b90713335a"")",501,Aortic aneurysm
"ObjectID(""647775723de912b90713335b"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b90713335c"")",503,Endocarditis
507,Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b90713335d"")"
Cardiovascular diseases,"ObjectID(""647775723de912b90713335e"")",491
492,Rheumatic heart disease,"ObjectID(""647775723de912b90713335f"")"
"ObjectID(""647775723de912b907133360"")",493,Ischemic heart disease
"ObjectID(""647775723de912b907133361"")",495,Ischemic stroke
"ObjectID(""647775723de912b907133362"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b907133363"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b907133364"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b907133365"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b907133366"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b907133367"")",970,Other non-rheumatic valve diseases
942,Myocarditis,"ObjectID(""647775723de912b907133368"")"
"ObjectID(""647775723de912b907133369"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b90713336a"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b90713336b"")",1004,Pulmonary Arterial Hypertension
500,Atrial fibrillation and flutter,"ObjectID(""647775723de912b90713336c"")"
"ObjectID(""647775723de912b90713336d"")",501,Aortic aneurysm
502,Lower extremity peripheral arterial disease,"ObjectID(""647775723de912b90713336e"")"
"ObjectID(""647775723de912b90713336f"")",503,Endocarditis
"ObjectID(""647775723de912b907133370"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b907133371"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b907133372"")",492,Rheumatic heart disease
493,Ischemic heart disease,"ObjectID(""647775723de912b907133373"")"
"ObjectID(""647775723de912b907133374"")",495,Ischemic stroke
"ObjectID(""647775723de912b907133375"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b907133376"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b907133377"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b907133378"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b907133379"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b90713337a"")",970,Other non-rheumatic valve diseases
Myocarditis,"ObjectID(""647775723de912b90713337b"")",942
"ObjectID(""647775723de912b90713337c"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b90713337d"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b90713337e"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b90713337f"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b907133380"")",501,Aortic aneurysm
"ObjectID(""647775723de912b907133381"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b907133382"")",503,Endocarditis
507,Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b907133383"")"
"ObjectID(""647775723de912b907133384"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b907133385"")",492,Rheumatic heart disease
493,Ischemic heart disease,"ObjectID(""647775723de912b907133386"")"
"ObjectID(""647775723de912b907133387"")",495,Ischemic stroke
Intracerebral hemorrhage,"ObjectID(""647775723de912b907133388"")",496
"ObjectID(""647775723de912b907133389"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b90713338a"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b90713338b"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b90713338c"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b90713338d"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b90713338e"")",942,Myocarditis
"ObjectID(""647775723de912b90713338f"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b907133390"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b907133391"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b907133392"")",500,Atrial fibrillation and flutter
501,Aortic aneurysm,"ObjectID(""647775723de912b907133393"")"
"ObjectID(""647775723de912b907133394"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b907133395"")",503,Endocarditis
Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b907133396"")",507
Cardiovascular diseases,"ObjectID(""647775723de912b907133397"")",491
"ObjectID(""647775723de912b907133398"")",492,Rheumatic heart disease
Ischemic heart disease,"ObjectID(""647775723de912b907133399"")",493
"ObjectID(""647775723de912b90713339a"")",495,Ischemic stroke
"ObjectID(""647775723de912b90713339b"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b90713339c"")",497,Subarachnoid hemorrhage
498,Hypertensive heart disease,"ObjectID(""647775723de912b90713339d"")"
"ObjectID(""647775723de912b90713339e"")",968,Non-rheumatic calcific aortic valve disease
969,Non-rheumatic degenerative mitral valve disease,"ObjectID(""647775723de912b90713339f"")"
"ObjectID(""647775723de912b9071333a0"")",970,Other non-rheumatic valve diseases
Myocarditis,"ObjectID(""647775723de912b9071333a1"")",942
"ObjectID(""647775723de912b9071333a2"")",938,Alcoholic cardiomyopathy
944,Other cardiomyopathy,"ObjectID(""647775723de912b9071333a3"")"
1004,Pulmonary Arterial Hypertension,"ObjectID(""647775723de912b9071333a4"")"
"ObjectID(""647775723de912b9071333a5"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b9071333a6"")",501,Aortic aneurysm
"ObjectID(""647775723de912b9071333a7"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b9071333a8"")",503,Endocarditis
"ObjectID(""647775723de912b9071333a9"")",507,Other cardiovascular and circulatory diseases
491,Cardiovascular diseases,"ObjectID(""647775723de912b9071333aa"")"
"ObjectID(""647775723de912b9071333ab"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b9071333ac"")",493,Ischemic heart disease
Ischemic stroke,"ObjectID(""647775723de912b9071333ad"")",495
"ObjectID(""647775723de912b9071333ae"")",496,Intracerebral hemorrhage
497,Subarachnoid hemorrhage,"ObjectID(""647775723de912b9071333af"")"
"ObjectID(""647775723de912b9071333b0"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b9071333b1"")",968,Non-rheumatic calcific aortic valve disease
969,Non-rheumatic degenerative mitral valve disease,"ObjectID(""647775723de912b9071333b2"")"
"ObjectID(""647775723de912b9071333b3"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b9071333b4"")",942,Myocarditis
"ObjectID(""647775723de912b9071333b5"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b9071333b6"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b9071333b7"")",1004,Pulmonary Arterial Hypertension
500,Atrial fibrillation and flutter,"ObjectID(""647775723de912b9071333b8"")"
501,Aortic aneurysm,"ObjectID(""647775723de912b9071333b9"")"
"ObjectID(""647775723de912b9071333ba"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b9071333bb"")",503,Endocarditis
"ObjectID(""647775723de912b9071333bc"")",507,Other cardiovascular and circulatory diseases
"ObjectID(""647775723de912b9071333bd"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b9071333be"")",492,Rheumatic heart disease
Ischemic heart disease,"ObjectID(""647775723de912b9071333bf"")",493
"ObjectID(""647775723de912b9071333c0"")",495,Ischemic stroke
"ObjectID(""647775723de912b9071333c1"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b9071333c2"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b9071333c3"")",498,Hypertensive heart disease
968,Non-rheumatic calcific aortic valve disease,"ObjectID(""647775723de912b9071333c4"")"
"ObjectID(""647775723de912b9071333c5"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b9071333c6"")",970,Other non-rheumatic valve diseases
Myocarditis,"ObjectID(""647775723de912b9071333c7"")",942
"ObjectID(""647775723de912b9071333c8"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b9071333c9"")",944,Other cardiomyopathy
1004,Pulmonary Arterial Hypertension,"ObjectID(""647775723de912b9071333ca"")"
"ObjectID(""647775723de912b9071333cb"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b9071333cc"")",501,Aortic aneurysm
502,Lower extremity peripheral arterial disease,"ObjectID(""647775723de912b9071333cd"")"
"ObjectID(""647775723de912b9071333ce"")",503,Endocarditis
507,Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b9071333cf"")"
"ObjectID(""647775723de912b9071333d0"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b9071333d1"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b9071333d2"")",493,Ischemic heart disease
"ObjectID(""647775723de912b9071333d3"")",495,Ischemic stroke
"ObjectID(""647775723de912b9071333d4"")",496,Intracerebral hemorrhage
497,Subarachnoid hemorrhage,"ObjectID(""647775723de912b9071333d5"")"
"ObjectID(""647775723de912b9071333d6"")",498,Hypertensive heart disease
